Argile(%);Limon(%);Sable(%);Soil Texture
60;28;12;Clay
10;19;71;Sandy loam
10;25;65;Sandy loam
4;16;81;Loamy sand
31;40;29;Clay loam
15;28;56;Sandy loam
23;37;39;Loam
58;26;16;Clay
48;28;24;Clay
14;43;43;Loam
21;45;34;Loam
23;46;31;Loam
8;23;69;Sandy loam
8;19;73;Sandy loam
12;36;52;Loam
18;26;55;Sandy loam
34;38;29;Clay loam
11;23;66;Sandy loam
8;16;76;Sandy loam
34;29;37;Clay loam
37;27;36;Clay loam
65;29;7;Clay
33;37;30;Clay loam
13;38;49;Loam
16;41;43;Loam
42;33;25;Clay
20;34;46;Loam
56;29;15;Clay
50;29;21;Clay
65;27;8;Clay
29;35;36;Clay loam
58;31;11;Clay
11;24;65;Sandy loam
44;33;23;Clay
47;35;19;Clay
58;29;13;Clay
58;21;21;Clay
59;21;20;Clay
53;26;20;Clay
54;29;17;Clay
56;27;16;Clay
20;20;60;Sandy loam
51;21;28;Clay
22;24;55;Sandy clay loam
49;17;34;Clay
50;21;30;Clay
36;23;41;Clay loam
31;20;49;Sandy clay loam
59;24;17;Clay
50;23;26;Clay
27;27;46;Sandy clay loam
45;21;34;Clay
15;25;60;Sandy loam
52;21;27;Clay
55;23;22;Clay
47;19;34;Clay
50;21;29;Clay
24;25;51;Sandy clay loam
41;21;38;Clay
25;21;54;Sandy clay loam
46;22;32;Clay
53;18;29;Clay
54;22;24;Clay
36;20;44;Clay loam
52;19;29;Clay
17;15;69;Sandy loam
22;18;61;Sandy clay loam
24;25;51;Sandy clay loam
10;17;73;Sandy loam
32;30;38;Clay loam
10;18;72;Sandy loam
20;45;36;Loam
28;37;34;Clay loam
16;29;55;Sandy loam
16;40;45;Loam
38;36;27;Clay loam
22;29;49;Loam
60;31;9;Clay
59;32;9;Clay
29;36;35;Clay loam
56;32;12;Clay
56;29;16;Clay
34;36;30;Clay loam
21;25;53;Sandy clay loam
54;32;14;Clay
49;33;18;Clay
2;17;81;Loamy sand
37;30;33;Clay loam
58;25;17;Clay
20;32;48;Loam
10;27;63;Sandy loam
12;34;54;Sandy loam
17;28;54;Sandy loam
12;18;71;Sandy loam
18;19;63;Sandy loam
13;13;74;Sandy loam
16;14;70;Sandy loam
37;18;45;Clay loam
17;24;59;Sandy loam
14;16;70;Sandy loam
19;19;62;Sandy loam
18;19;63;Sandy loam
23;21;56;Sandy clay loam
21;21;58;Sandy clay loam
14;17;68;Sandy loam
36;34;31;Clay loam
49;37;13;Clay
2;16;82;Loamy sand
26;28;46;Loam
4;16;80;Loamy sand
4;17;79;Loamy sand
6;14;80;Loamy sand
18;25;56;Sandy loam
12;34;54;Sandy loam
15;35;49;Loam
19;22;59;Sandy loam
11;32;57;Sandy loam
9;12;79;Loamy sand
29;20;51;Sandy clay loam
28;26;46;Sandy clay loam
14;14;72;Sandy loam
13;45;43;Loam
10;18;72;Sandy loam
24;41;35;Loam
20;27;53;Sandy loam
26;30;44;Loam
6;17;77;Loamy sand
15;34;51;Loam
23;30;47;Loam
14;34;52;Loam
41;24;35;Clay
42;27;31;Clay
21;26;53;Sandy clay loam
28;44;27;Clay loam
